subj,shot,timestamp,K
1,set_4,41.202595,0.320501
1,set_4,41.432683,-1.346563
1,set_4,41.547567,-0.387353
1,set_4,41.646276,3.441802
1,set_4,42.007559,-2.727053
1,set_4,42.237586,-1.027268
1,set_4,42.385493,-1.328089
1,set_4,42.467680,0.261518
1,set_4,42.549638,2.844392
1,set_4,42.845478,-0.081653
1,set_4,42.976950,-0.573934
1,set_4,43.075371,1.723858
1,set_4,43.272672,-2.076411
1,set_4,43.403969,0.415856
1,set_4,43.519033,-0.250736
1,set_4,43.634035,-0.348648
1,set_4,43.716299,-0.155034
1,set_4,43.798298,-0.277464
1,set_4,43.896811,-0.979208
1,set_4,43.962655,2.764072
1,set_4,44.241937,0.392554
1,set_4,44.455438,-0.035156
1,set_4,44.521254,-0.183332
1,set_4,44.619759,0.383669
1,set_4,44.701885,0.383669
1,set_5,0.049297,-0.121333
1,set_5,0.082209,-0.102532
1,set_5,0.131479,-0.428787
1,set_5,0.197205,0.246536
1,set_5,0.279352,-0.457240
1,set_5,0.328683,1.388038
1,set_5,0.525786,-2.585073
1,set_5,0.640715,-0.294893
1,set_5,0.673537,-0.330268
1,set_5,0.772154,-0.647150
1,set_5,0.903704,-0.118362
1,set_5,0.936583,-0.538559
1,set_5,1.035129,-0.208552
1,set_5,1.084378,-0.532162
1,set_5,1.232231,-2.460107
1,set_5,1.379937,-0.118749
1,set_5,1.412847,1.209719
1,set_5,1.609937,5.139039
1,set_5,2.234379,0.957211
1,set_5,2.415129,-3.182800
1,set_5,2.562799,-0.167838
1,set_5,2.595673,0.220463
1,set_5,2.710855,0.572288
1,set_5,2.924355,-0.823908
1,set_5,3.154331,0.907542
1,set_5,3.400800,-0.215731
1,set_5,3.466554,-0.566710
1,set_5,3.565124,1.176089
1,set_5,3.893658,-0.615395
1,set_5,3.992219,-3.233814
1,set_5,4.189382,-0.685152
1,set_5,4.238565,-0.113748
1,set_5,4.287947,3.259943
1,set_5,4.682157,0.404653
1,set_5,4.797195,-0.140799
1,set_5,4.830086,0.031583
1,set_5,5.010873,0.051394
1,set_5,5.092932,1.657046
1,set_5,5.339295,3.097688
1,set_5,5.750063,-3.592842
1,set_5,5.865000,1.110675
1,set_5,6.045720,1.410949
1,set_5,6.292237,-0.668932
1,set_5,6.357905,-0.223185
1,set_5,6.423587,0.890754
1,set_5,6.670049,-0.636493
1,set_5,6.752218,-0.646960
1,set_5,6.867153,-0.267123
1,set_5,6.932892,1.387848
1,set_5,7.130114,-1.678924
1,set_5,7.245165,1.157128
1,set_5,7.425813,-0.025374
1,set_5,7.491490,-0.187464
1,set_5,7.524232,-0.771114
1,set_5,7.704933,1.873354
1,set_5,8.049990,0.768269
1,set_5,8.263611,-1.320937
1,set_5,8.460815,-0.215933
1,set_5,8.510016,0.732339
1,set_5,8.756462,2.149469
1,set_5,9.085051,0.961304
1,set_5,9.298693,-1.420407
1,set_5,9.725623,0.050341
1,set_5,9.807963,2.129455
1,set_5,10.087191,1.799067
1,set_5,10.399299,-0.250467
1,set_5,10.547333,-0.366190
1,set_5,10.613010,-1.007724
1,set_5,10.744317,-0.473556
1,set_5,10.809987,0.127441
1,set_5,11.040114,-0.744272
1,set_5,11.138648,-0.116347
1,set_5,11.237315,0.152940
1,set_5,11.319467,-4.681607
1,set_5,11.565781,1.191612
1,set_5,11.762951,1.191612
